2026-03-24 15:20:48.226 | INFO     | src.cv_layer.cv_pipeline:__init__:66 - CV Pipeline initialized
2026-03-24 15:20:48.227 | ERROR    | src.api.routes:analyze_food:194 - Analysis failed: google-generativeai package not installed
2026-03-24 15:20:48.497 | INFO     | src.cv_layer.aruco_detector:__init__:69 - ArUco detector initialized with DICT_4X4_50, marker size: 5.0cm
2026-03-24 15:20:48.500 | INFO     | src.cv_layer.cv_pipeline:__init__:66 - CV Pipeline initialized
2026-03-24 15:20:48.501 | ERROR    | src.api.routes:analyze_food:194 - Analysis failed: google-generativeai package not installed
2026-03-24 15:37:49.309 | INFO     | __main__:run_server:50 - Starting server on 0.0.0.0:8000
2026-03-24 15:37:50.488 | WARNING  | src.gemini_layer.gemini_client:<module>:22 - google-generativeai not installed. Install with: pip install google-generativeai
2026-03-24 15:38:40.232 | INFO     | src.cv_layer.aruco_detector:__init__:69 - ArUco detector initialized with DICT_4X4_50, marker size: 5.0cm
2026-03-24 15:38:40.233 | INFO     | src.cv_layer.cv_pipeline:__init__:66 - CV Pipeline initialized
2026-03-24 15:38:40.235 | ERROR    | src.api.routes:analyze_food:194 - Analysis failed: google-generativeai package not installed
2026-03-24 15:45:12.962 | INFO     | __main__:run_server:50 - Starting server on 0.0.0.0:8000
2026-03-24 15:45:14.496 | WARNING  | src.gemini_layer.gemini_client:<module>:22 - google-generativeai not installed. Install with: pip install google-generativeai
2026-03-24 15:45:20.423 | INFO     | src.cv_layer.aruco_detector:__init__:69 - ArUco detector initialized with DICT_4X4_50, marker size: 5.0cm
2026-03-24 15:45:20.425 | INFO     | src.cv_layer.cv_pipeline:__init__:66 - CV Pipeline initialized
2026-03-24 15:45:20.426 | ERROR    | src.api.routes:analyze_food:194 - Analysis failed: google-generativeai package not installed
2026-03-24 15:45:21.257 | INFO     | src.cv_layer.aruco_detector:__init__:69 - ArUco detector initialized with DICT_4X4_50, marker size: 5.0cm
2026-03-24 15:45:21.259 | INFO     | src.cv_layer.cv_pipeline:__init__:66 - CV Pipeline initialized
2026-03-24 15:45:21.261 | ERROR    | src.api.routes:analyze_food:194 - Analysis failed: google-generativeai package not installed
2026-03-24 15:51:51.511 | INFO     | __main__:run_server:50 - Starting server on 0.0.0.0:8000
2026-03-24 15:52:30.165 | INFO     | src.cv_layer.aruco_detector:__init__:69 - ArUco detector initialized with DICT_4X4_50, marker size: 5.0cm
2026-03-24 15:52:30.167 | INFO     | src.cv_layer.cv_pipeline:__init__:66 - CV Pipeline initialized
2026-03-24 15:52:32.559 | INFO     | src.gemini_layer.gemini_client:__init__:123 - Gemini analyzer initialized with model: gemini-3.0-flash
2026-03-24 15:52:32.560 | INFO     | src.pipeline:__init__:79 - Food Nutrition Pipeline initialized
2026-03-24 15:52:32.560 | INFO     | src.pipeline:analyze:99 - Processing image: C:\Users\taren\AppData\Local\Temp\tmp57e4pczx.jpg
2026-03-24 15:52:32.560 | INFO     | src.pipeline:analyze:102 - Running CV pipeline...
2026-03-24 15:52:32.680 | INFO     | src.cv_layer.aruco_detector:detect:120 - Detected 0 ArUco markers
2026-03-24 15:52:32.680 | WARNING  | src.cv_layer.cv_pipeline:process:87 - No ArUco marker detected - measurements will be approximate
2026-03-24 15:52:48.307 | INFO     | src.cv_layer.food_detector:load_model:69 - Loaded custom YOLO model from yolov8n.pt
2026-03-24 15:52:48.307 | INFO     | src.cv_layer.food_detector:load_model:80 - YOLO model ready on device: cpu
2026-03-24 15:52:48.849 | INFO     | src.cv_layer.food_detector:detect:160 - Detected 5 objects
2026-03-24 15:52:48.858 | INFO     | src.pipeline:analyze:106 - Running Gemini analysis...
2026-03-24 15:52:49.049 | ERROR    | src.gemini_layer.gemini_client:analyze_from_bytes:168 - Gemini analysis failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-3.0-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-03-24 15:52:49.050 | ERROR    | src.pipeline:analyze:137 - Pipeline failed: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-3.0-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
